NoPartie,NoÉquipe,NoJoueur,Points
1,5,1,90
1,5,2,70
1,5,3,80
1,5,4,80
1,5,99,40
1,6,1,80
1,6,2,60
1,6,4,130
1,6,9,0
1,6,99,25
2,4,1,110
2,4,2,80
2,4,3,70
2,4,4,50
2,4,99,25
2,7,1,85
2,7,2,20
2,7,3,50
2,7,4,160
2,7,99,45
3,2,1,170
3,2,4,70
3,2,9,70
3,2,10,20
3,2,99,20
3,6,1,100
3,6,2,60
3,6,3,65
3,6,99,55
4,3,1,115
4,3,2,120
4,3,3,80
4,3,4,10
4,3,99,25
4,7,2,40
4,7,3,80
4,7,4,120
4,7,11,70
4,7,99,30
5,1,1,130
5,1,4,60
5,1,5,110
5,1,9,50
5,1,99,20
5,2,1,130
5,2,4,70
5,2,5,30
5,2,10,20
5,2,99,20
6,6,1,100
6,6,2,45
6,6,4,90
6,6,12,50
6,6,99,20
6,7,1,50
6,7,2,40
6,7,3,125
6,7,4,120
6,7,99,35
