NoPartie,NoÉquipe,NoJoueur,Points
36,1,4,65
36,1,5,100
36,1,6,40
36,1,9,60
36,1,99,30
36,7,1,70
36,7,2,50
36,7,3,85
36,7,4,120
36,7,99,85
37,2,1,135
37,2,4,85
37,2,9,40
37,2,10,30
37,2,99,30
37,3,1,135
37,3,2,70
37,3,3,50
37,3,4,40
37,3,99,20
38,5,1,115
38,5,2,80
38,5,3,90
38,5,4,50
38,5,99,55
38,6,1,110
38,6,2,60
38,6,4,100
38,6,9,10
38,6,99,35
39,5,1,100
39,5,2,90
39,5,3,50
39,5,4,50
39,5,99,45
39,7,1,50
39,7,3,85
39,7,4,110
39,7,99,10
40,2,1,160
40,2,4,100
40,2,5,10
40,2,9,40
40,2,99,20
40,4,1,130
40,4,2,70
40,4,3,60
40,4,4,40
40,4,99,25

